file,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present
10_06,2473660,2478010,broccoli,d,n,d,n
10_06,2479020,2482760,carrots,d,n,d,n
10_06,2483590,2486420,carrots,d,n,d,n
10_06,2494090,2495860,yellow+squash,d,n,d,n
10_06,2502370,2503250,sweet+potato,d,n,d,n
10_06,2502370,2503250,zucchini,d,n,d,n
10_06,2502370,2503250,avocado,n,n,d,n
10_06,2505810,2506820,peas,d,n,d,n
10_06,2511950,2514320,apple,d,n,d,n
10_06,2515980,2517180,apple,d,n,d,n
10_06,2518090,2522740,banana,d,n,d,n
10_06,2518090,2522740,apples,d,n,d,n
10_06,2537150,2540040,pears,d,n,d,n
10_06,2537150,2540040,pears,d,n,d,n
10_06,2545190,2546200,pears,d,n,d,n
10_06,2550280,2553140,milk,d,n,d,n
10_06,2579400,2580470,banana,q,y,d,n
10_06,2587780,2588620,banana,d,n,d,n
10_06,2588620,2589620,cereal,d,n,d,n
10_06,2589620,2590720,banana,d,n,d,n
10_06,2590720,2591540,cereal,d,n,d,n
10_06,2635980,2639390,banana,d,y,d,n
10_06,2675250,2677020,banana,q,y,q,y
10_06,2709230,2710790,baby,d,n,d,y
10_06,2718210,2719210,coffee,d,y,d,y
10_06,2767590,2769450,banana,d,y,d,y
10_06,2792250,2793390,life+cereal,n,n,n,n
10_06,2795350,2796150,cereal,q,n,q,n
10_06,2813130,2814880,banana,d,y,d,y
10_06,2827200,2828390,apples,d,n,d,n
10_06,2827200,2828390,sweet+potato,d,n,d,n
10_06,2827200,2828390,sweet+potato,n,n,n,n
10_06,2827200,2828390,freezer,q,n,q,n
10_06,2828390,2835380,pears,d,n,d,n
10_06,2835380,2844560,peas,d,n,d,n
10_06,2851160,2853520,zucchinis,d,n,d,n
10_06,2881610,2883970,water,d,n,d,n
10_06,2881610,2883970,milk,d,y,d,n
10_06,2911910,2913410,oaty+oaty+oaties,n,y,n,y
10_06,2914380,2919730,bananas,d,y,d,y
10_06,2914380,2919730,milk,d,y,d,y
10_06,3089480,3090740,bubble,d,y,q,n
10_06,3098390,3099830,tablecloth,n,y,q,y
10_06,3159750,3160950,spitty,n,y,d,y
10_06,3171800,3173070,doggy,d,y,d,y
10_06,3219590,3222500,bird+feeder,d,n,d,n
10_06,3219590,3222500,birds,d,n,d,n
