file,ordinal,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present
10_06,1,2222060,2223734,teeth,d,y,d,y
10_06,2,2225940,2231272,teeth,i,y,i,y
10_06,3,2244647,2247126,tongue,q,y,q,y
10_06,4,2247725,2249337,tongue,i,y,d,y
10_06,5,2249337,2250091,teeth,i,y,i,y
10_06,6,2250269,2252633,teeth,q,y,q,y
10_06,7,2252634,2256783,teeth,d,y,d,y
10_06,8,2265389,2269945,mirror,q,y,q,y
10_06,9,2295429,2298931,baby,i,y,i,y
10_06,10,2298932,2300572,baby,n,n,d,n
10_06,11,2301449,2305773,cooties,q,y,q,y
10_06,12,2309769,2312434,toy,i,n,i,n
10_06,13,2327505,2330604,giraffe,q,y,q,y
10_06,14,2330605,2332463,giraffe,q,y,q,y
10_06,15,2341382,2342777,giraffe,d,y,d,y
10_06,16,2349900,2353654,giraffe,i,y,i,y
10_06,17,2353750,2355002,eyes,d,n,d,y
10_06,18,2355280,2356552,eyes,q,n,q,y
19_06,1,519943,524996,hand,d,y,d,y
19_06,2,524997,527166,finger,d,y,d,y
19_06,3,527167,529377,hand,d,y,d,y
19_06,4,538570,541513,mail+truck,d,n,d,n
19_06,5,541514,543923,mail+truck,d,n,d,n
19_06,6,543924,548353,mail+truck,d,n,d,n
19_06,7,543925,548352,muffler,d,n,d,n
19_06,8,548353,553193,sweatshirt,q,n,d,n
19_06,9,553287,556436,sweatshirt,q,n,q,y
19_06,10,576173,578230,bowl,d,y,q,y
19_06,11,578231,583801,bowl,n,y,n,y
19_06,12,585391,587609,bottle,d,n,d,n
19_06,13,601647,608158,chair,q,n,q,n
19_06,14,601647,608158,bib,q,n,q,n
19_06,15,601647,608158,peas,q,n,d,n
19_06,16,619192,621764,hand,q,y,q,y
19_06,17,639182,641165,block,q,y,q,y
19_06,18,641166,642950,block,d,y,d,y
19_06,19,649544,654130,teether+hand,d,y,d,y
19_06,20,692325,695548,hand+toy,q,y,q,y
19_06,21,695549,696711,hand+teether,q,y,n,y
19_06,22,701509,703259,weeble,d,n,d,n
19_06,23,720004,723289,cat,q,n,d,n
19_06,24,725874,728400,mouth,q,y,d,n
19_06,25,743904,748058,block,q,y,n,y
19_06,26,758906,761420,crinkly,d,y,d,y
19_06,27,761618,764658,crinkly,d,y,d,y
19_06,28,764658,768001,book,d,y,d,y
19_06,29,778384,780908,teething+ring,d,y,d,y
19_06,30,778384,780908,hand,d,y,d,y
19_06,31,786561,789579,block,d,y,d,y
35_06,1,3535606,3536598,dog,r,y,r,y
35_06,2,3538003,3539273,dogs,r,y,r,y
35_06,3,3539274,3540547,dogs,r,y,r,y
35_06,4,3540548,3542406,dogs,r,y,r,n
35_06,5,3547984,3549719,hat,r,y,r,y
35_06,6,3552915,3555364,dog,r,y,r,y
35_06,7,3555365,3557103,dogs,r,y,r,y
35_06,8,3557103,3558804,remote,q,n,q,y
35_06,9,3559113,3560724,book,d,y,d,y
35_06,10,3565190,3566000,dog,r,y,r,y
35_06,11,3566000,3566774,tree,r,y,r,y
35_06,12,3566774,3567600,dog,r,y,r,y
35_06,13,3567600,3568911,tree,r,y,r,y
35_06,14,3569411,3570500,dog,r,y,r,y
35_06,15,3570500,3571859,tree,r,y,r,y
35_06,16,3584668,3588573,burp+cloth,q,y,q,y
35_06,17,3595582,3596500,dogs,r,y,r,y
35_06,18,3596500,3597723,dogs,r,y,r,y
35_06,19,3597724,3599000,cars,r,y,r,y
35_06,20,3599000,3599742,dog,r,y,r,n
35_06,21,3599743,3601168,car,r,y,r,n
35_06,22,3601975,3603495,dogs,r,y,r,n
35_06,23,3603496,3605667,dog,r,y,r,y
35_06,24,3607322,3608934,dog,r,y,r,y
35_06,25,3608935,3610423,dog,r,y,r,y
35_06,26,3610424,3611820,dog,r,y,r,y
23_06,1,1624972,1628474,feet,s,n,s,n
23_06,2,1632211,1633450,stars,s,n,s,n
23_06,3,1708123,1709548,feet,s,n,s,n
23_06,4,1713610,1717081,stars,s,n,s,n
26_06,1,3417378,3417903,pigs,r,y,r,n
26_06,2,3424151,3424955,book,q,y,q,y
26_06,3,3433040,3433629,noggin,q,y,d,n
26_06,4,3452951,3454490,head,d,n,d,n
26_06,5,3462429,3463266,head,q,n,q,n
26_06,6,3473189,3475578,ants,q,n,q,n
26_06,7,3473189,3475578,pants,q,n,q,n
26_06,8,3476654,3477957,ants,q,n,q,n
26_06,9,3479238,3479867,belly,q,n,d,n
26_06,10,3479975,3480863,ants,d,n,q,n
26_06,11,3479975,3480863,belly,d,n,q,y
26_06,13,3480984,3482293,neck,q,n,q,y
26_06,12,3480984,3482293,ants,q,n,q,n
26_06,14,3482604,3483427,ants,q,n,q,n
26_06,15,3482604,3483427,feet,q,n,q,n
26_06,16,3484353,3485143,ants,d,n,d,n
26_06,17,3485847,3486776,ants,d,n,d,n
26_06,18,3488242,3489958,ants,d,n,d,n
26_06,19,3490414,3490829,ants,d,n,n,n
26_06,20,3490879,3491083,ants,d,n,n,n
26_06,21,3491084,3491610,ants,d,n,n,n
26_06,22,3493431,3494919,ants,d,n,d,n
26_06,23,3493431,3494919,leggies,d,n,d,n
20_06,1,899482,900814,hat,d,n,d,n
20_06,2,922703,924408,hat,d,n,d,n
20_06,3,949774,950883,ladybug,i,y,i,y
20_06,4,954301,957370,ladybug,i,n,i,n
20_06,5,999283,1000740,ladybug,n,n,n,n
20_06,6,1070026,1071640,toy,i,n,i,n
20_06,7,1071937,1073457,turtle,i,n,i,n
20_06,8,1095297,1098056,slinky,q,y,q,y
20_06,9,1095297,1098056,binky,q,y,d,y
20_06,10,1163296,1165775,binky,n,y,n,y
20_06,11,1168634,1171269,binky,n,y,d,y
20_06,13,1190876,1193232,binky,d,n,d,y
20_06,12,1190876,1193232,hat,d,n,d,n
20_06,14,1238319,1239125,binkies,n,n,n,n
20_06,15,1239125,1240142,body,n,n,n,n
20_06,16,1253383,1254313,toys,d,n,d,y
20_06,17,1254592,1256242,dog,d,y,d,y
20_06,18,1268873,1270408,hair,d,y,d,y
20_06,19,1270412,1271311,ears,n,n,d,n
20_06,20,1322238,1323541,belly,d,n,d,y
20_06,21,1350085,1351543,slinky,d,y,d,y
20_06,22,1359162,1361487,doggy,n,y,n,y
20_06,23,1361487,1362647,doggy,i,y,i,y
07_06,1,1846005,1847479,blanket,q,y,n,y
07_06,2,1847480,1850462,blanket,d,y,d,y
07_06,3,1854599,1855681,baby,q,y,q,y
07_06,4,1855681,1856922,baby,q,y,q,y
07_06,5,1856922,1858896,baby,d,y,d,y
07_06,6,1924699,1930215,finger,d,y,d,y
07_06,7,1930216,1932187,tooth,d,n,d,y
07_06,8,1932281,1934477,tooth,q,n,q,y
07_06,9,1965624,1969185,teething+toy,q,n,q,n
07_06,10,1965624,1969185,finger,q,y,q,y
07_06,11,1971480,1973873,finger,d,y,d,y
07_06,12,2061730,2064707,stories,q,n,q,n
07_06,13,2064707,2066005,books,d,n,d,n
07_06,14,2077004,2080184,Go+dogs+go,d,y,d,y
07_06,15,2080185,2081993,Go+dogs+go,d,y,d,y
07_06,16,2102036,2106711,floor,d,n,d,n
07_06,17,2102036,2106711,camera,q,n,q,n
07_06,18,2106714,2108038,Go+dog+go,d,y,d,y
07_06,19,2108105,2112012,dogs,r,y,r,y
07_06,20,2116164,2117019,skates,r,y,r,y
21_06,1,557458,559503,lion,n,y,n,y
21_06,2,560962,563146,lion,n,y,n,y
21_06,3,563147,565175,apple,d,y,d,y
21_06,4,565176,568073,lions,q,y,q,y
21_06,5,570597,572794,carrots,d,n,d,y
21_06,6,577614,580500,lions,n,n,n,y
34_06,1,2197716,2199317,rain,s,n,s,n
34_06,2,2508531,2510959,birdies,q,n,q,n
34_06,3,2511777,2513918,birdies,q,n,q,n
34_06,4,2556924,2558908,birdie+birdie+birdies,n,n,n,n
37_06,1,1292908,1294334,bottle,q,n,q,n
37_06,2,1295217,1296827,bottle,q,n,q,n
37_06,3,1304775,1306509,bottle,q,n,q,n
37_06,4,1304775,1306509,fridge,q,n,q,n
37_06,5,1318710,1319670,bottle,n,n,n,n
37_06,6,1492832,1497244,cameras,d,n,d,n
37_06,7,1520104,1524628,piece,d,n,d,n
37_06,8,1526660,1528116,puzzle,d,n,d,n
37_06,9,1529039,1530588,puzzle,q,n,q,n
37_06,10,1833569,1834477,ear,d,y,d,y
37_06,11,2002166,2004830,belly,d,n,d,n
37_06,12,2008061,2010779,hat,d,y,d,y
25_06,1,840763,842437,car,q,n,q,n
25_06,2,897256,898807,Baby+signs,q,y,q,y
25_06,3,903018,904289,Baby+signs,q,y,q,y
25_06,4,922694,924088,hat,q,y,q,n
25_06,5,942824,943864,car,d,n,d,n
25_06,6,946097,947679,toys,q,y,q,y
25_06,7,988352,989655,Baby+signs+book,q,y,q,y
25_06,8,1032324,1033254,toys,d,n,d,y
25_06,9,1117600,1120174,clothes,d,n,d,n
25_06,10,1120847,1123202,laundry,d,n,d,n
25_06,11,1123246,1125386,diapers,d,n,d,n
25_06,12,1126005,1127803,food,d,n,d,n
25_06,13,1130166,1132397,toys,d,n,d,y
25_06,14,1134043,1135191,crib,d,n,d,n
25_06,15,1136474,1138060,travel+crib,n,n,n,n
25_06,16,1208097,1210795,present,d,n,d,n
25_06,17,1216498,1219815,present,d,y,d,n
29_06,1,1814334,1818431,freezer,d,n,d,n
29_06,2,1928893,1932114,chewy,n,y,n,y
29_06,3,1928893,1932114,chewy,n,y,n,y
29_06,4,1928893,1932114,chewy,n,y,n,y
29_06,5,1947278,1950376,sponge,d,n,d,n
29_06,6,1947278,1950376,dishes,d,n,d,n
29_06,7,1953409,1955668,sponge,q,n,d,n
29_06,8,1953409,1955668,sink,q,n,d,n
29_06,9,1981448,1983749,food,d,n,d,n
29_06,10,2069757,2073135,tickets,d,n,d,n
29_06,11,2092601,2095669,dog,q,n,d,n
29_06,12,2096350,2097777,dog,q,n,q,n
29_06,13,2099377,2100805,dog,q,n,q,n
29_06,14,2124407,2125722,pizza,d,n,d,n
11_06,1,1797467,1799427,carrots,d,n,d,n
11_06,2,1799947,1802240,carrots,d,n,d,n
11_06,3,1802240,1803886,applesauce,d,y,d,y
11_06,4,1809974,1812269,applesauce,q,y,q,y
11_06,5,1820126,1821334,applesauce,n,y,n,y
11_06,6,1821901,1825217,face,d,n,d,n
11_06,7,1832672,1836516,foot,d,y,d,y
11_06,8,1832672,1836516,sloppy+joe,d,y,d,y
11_06,10,1837119,1839754,sloppy+joe,d,y,d,y
11_06,9,1837119,1839754,foot,d,y,d,y
11_06,11,1844575,1848388,sandwich,q,y,q,y
11_06,12,1849262,1854824,sandwich,q,y,q,y
11_06,13,1860504,1863573,caterpillar,q,y,q,y
11_06,14,1867113,1869655,applesauce,d,y,d,y
11_06,15,1882892,1885092,caterpillar,q,y,q,y
11_06,16,1926471,1929075,cup,d,y,d,y
11_06,17,1943213,1944840,cup,q,y,q,y
11_06,18,1953838,1956721,hand,q,y,d,y
11_06,19,1956721,1958442,hand,q,y,d,y
11_06,20,1969002,1972009,hands,q,y,q,y
11_06,21,1990804,1994462,card,d,n,d,n
11_06,22,2010000,2012927,cup,q,y,q,y
11_06,23,2014000,2015608,cup,d,y,d,y
11_06,24,2017948,2020366,face,d,n,d,n
11_06,25,2034202,2036121,rings,d,y,d,n
11_06,26,2038435,2040370,rings,d,y,d,y
11_06,27,2041101,2042497,applesauce,q,y,q,y
11_06,28,2043657,2045827,applesauce,q,y,q,y
11_06,29,2048979,2051180,ring,q,y,q,y
11_06,30,2053718,2055516,rings,i,y,i,y
11_06,31,2060963,2062543,rings,d,y,d,y
11_06,32,2063000,2065744,applesauce,d,y,d,y
11_06,33,2072121,2075098,grass,d,n,d,n
11_06,34,2079455,2083950,sloppy+joes,q,y,q,y
30_06,1,2995364,2999090,water,d,y,d,y
30_06,2,2995364,2999091,Bunny,d,y,d,y
30_06,3,2995364,2999092,trunk,d,y,d,y
30_06,4,3000621,3002750,Bunny,d,y,n,y
30_06,5,3000621,3002750,umbrella,d,y,d,y
30_06,6,3018900,3020785,bird,r,y,r,y
30_06,7,3021815,3023328,feathers,r,y,r,y
30_06,8,3024468,3026500,feathers,i,y,i,y
30_06,9,3026900,3029574,feathers,i,y,i,y
30_06,10,3043571,3045979,Bunny,r,y,r,y
30_06,11,3043571,3045979,giraffe,r,y,r,y
30_06,12,3047100,3049122,giraffe,r,y,r,y
30_06,13,3049955,3051792,giraffe,q,y,q,y
